# raindata from George Works
date,mm
8/5/2014,14.4
9/5/2014,3.4
10/5/2014,23.8
11/5/2014,4.6
12/5/2014,19.2
13/5/2014,0.2
14/5/2014,1
15/5/2014
16/5/2014
17/5/2014
18/5/2014,3
19/5/2014,0.2
20/5/2014
21/5/2014
22/5/2014
23/5/2014,0.4
24/5/2014
25/5/2014
26/5/2014
27/5/2014,2
28/5/2014
29/5/2014,1.2
30/5/2014,0.2
31/5/2014
1/6/2014
2/6/2014
3/6/2014
4/6/2014,2.2
5/6/2014,0.2
6/6/2014,0.2
7/6/2014
8/6/2014
9/6/2014
10/6/2014
11/6/2014
12/6/2014
13/6/2014
14/6/2014,1
15/6/2014,0.2
16/6/2014
17/6/2014
18/6/2014,1.2
19/6/2014,5
20/6/2014,0.2
21/6/2014,4.8
22/6/2014
23/6/2014,0.4
26/6/2014,0.6
27/6/2014
28/6/2014
29/6/2014
30/6/2014,0.2
1/7/2014,6.4
2/7/2014
3/7/2014,2
4/7/2014
5/7/2014,1
6/7/2014,6.4
7/7/2014
08/07/2014,1.8
09/07/2014,0.8
10/07/2014,0.2
11/07/2014,0.2
14/07/2014,14.2
15/07/2014,8.8
16/07/2014,0.2
17/07/2014,2.2
18/07/2014,3.8
19/07/2014,0.4
20/07/2014,0.4
23/07/2014,2
25/07/2014,0.6
30/07/2014,3.8
01/08/2014,1
02/08/2014,2.6
03/08/2014,2.4
04/08/2014,0.4
05/08/2014,2.2
08/08/2014,27
10/08/2014,3.8
11/08/2014,11.2
12/08/2014,0.2
16/08/2014,6.2
17/08/2014,0.2
18/08/2014,0.6
19/08/2014,0.4
21/08/2014,12.6
22/08/2014,0.4
23/08/2014,1.6
26/08/2014,17.8
27/08/2014,0.6
28/08/2014,0.4
30/08/2014,0.6
04/09/2014,11.8
05/09/2014,1.6
06/09/2014,0.6
11/09/2014,0.8
12/09/2014,0.4
13/09/2014,4.4
18/09/2014,20.6
19/09/2014,2
20/09/2014,0.2
21/09/2014,1.4
22/09/2014,29
24/09/2014,0.2
26/09/2014,1.4
02/10/2014,3.4
06/10/2014,1
07/10/2014,11
12/10/2014,1.2
13/10/2014,11.6
14/10/2014,27.4
22/10/2014,0.2
23/10/2014,0.6
24/10/2014,1.2
25/10/2014,0.2
26/10/2014,0.2
27/10/2014,0.2
28/10/2014,0.8
29/10/2014,0.8
30/10/2014,15.8
02/11/2014,1.2
03/11/2014,0.2
04/11/2014,3.6
05/11/2014,1.4
07/11/2014,22.4
08/11/2014,83.6
09/11/2014,24.4
10/11/2014,0.4
12/11/2014,0.4
13/11/2014,4.2
14/11/2014,0.2
16/11/2014,0.2
17/11/2014,1
18/11/2014,5
19/11/2014,5.2
20/11/2014,6.4
21/11/2014,20.6
22/11/2014,8.4
23/11/2014,0.4
24/11/2014,1.4
25/11/2014,1.2
26/11/2014,0.4
02/12/2014,0.6
03/12/2014,0.2
04/12/2014,0.2
05/12/2014,27.6
18/12/2014,1.8
20/12/2014,5.2
21/12/2014,1.8
23/12/2014,1.8
24/12/2014,0.2
25/12/2014,0.8
26/12/2014,0.4
29/12/2014,2.6
30/12/2014,3.8
03/01/2015,5.6
04/01/2015,9.6
05/01/2015,5.8
06/01/2015,0.2
07/01/2015,0.8
08/01/2015,6.2
09/01/2015,0.4
10/01/2015,0.4
11/01/2015,0.6
12/01/2015,0.6
13/01/2015,2.8
14/01/2015,1.2
21/01/2015,2.8
25/01/2015,1.2
27/01/2015,0.4
30/01/2015,1
01/02/2015,1.6
02/02/2015,2.4
03/02/2015,1
05/02/2015,0.4
07/02/2015,0.2
12/02/2015,5.4
18/02/2015,2.8
20/02/2015,1.4
21/02/2015,1.6
22/02/2015,1.6
23/02/2015,1
25/02/2015,0.6
27/02/2015,1.2
01/03/2015,2
02/03/2015,1.6
05/03/2015,2.4
06/03/2015,1.4
08/03/2015,2.8
09/03/2015,0.6
11/03/2015,6.2
12/03/2015,1.8
15/03/2015,0.6
16/03/2015,14
27/03/2015,0.8
01/04/2015,2.2
04/04/2015,4
06/04/2015,1
07/04/2015,0.4
08/04/2015,0.2
10/04/2015,0.4
11/04/2015,0.2
13/04/2015,8.4
16/04/2015,23.4
17/04/2015,4.6
21/04/2015,0.2
02/05/2015,0.6
08/05/2015,0.8
10/05/2015,0.2
18/05/2015,0.2
19/05/2015,1.2
01/06/2015,0.8
02/06/2015,7.2
03/06/2015,9.6
05/06/2015,0.2
